ReportProcessId,TotalModels,SubmissionDate
2,126,1/2/2020
3,2,1/2/2020
32,836,1/2/2020
1,6,1/2/2020
4,3,1/2/2020
27,198,1/2/2020
30,5,1/2/2020
36,2,1/2/2020
34,4,1/3/2020
2,879,1/3/2020
1,3227,1/3/2020
4,4,1/3/2020
7,8,1/3/2020
36,21,1/3/2020
3,2841,1/3/2020
32,634,1/3/2020
9,24,1/3/2020
41,24,1/3/2020
1,10140,1/4/2020
32,423,1/4/2020
2,715,1/4/2020
34,2,1/4/2020
36,1,1/4/2020
20,1,1/5/2020
4,1,1/5/2020
7,1,1/5/2020
36,9,1/5/2020
32,6,1/6/2020
9,8,1/6/2020
41,8,1/6/2020
2,593,1/6/2020
40,1,1/6/2020
1,576,1/6/2020
4,1,1/6/2020
7,1,1/6/2020
36,7,1/6/2020
2,244,1/7/2020
3,1707,1/7/2020
32,253,1/7/2020
20,4,1/7/2020
9,30,1/7/2020
41,30,1/7/2020
1,24,1/7/2020
4,2,1/7/2020
33,229,1/7/2020
19,4,1/7/2020
3,6,1/8/2020
9,8,1/8/2020
32,972,1/8/2020
12,2,1/8/2020
41,8,1/8/2020
4,48,1/8/2020
36,12,1/8/2020
1,163,1/8/2020
2,1392,1/8/2020
34,2,1/8/2020
11,1,1/8/2020
40,7,1/8/2020
1,203,1/9/2020
4,3,1/9/2020
32,1145,1/9/2020
2,1969,1/9/2020
31,2,1/9/2020
34,1,1/9/2020
36,8,1/9/2020
3,918,1/10/2020
32,897,1/10/2020
2,4958,1/10/2020
1,720,1/10/2020
4,18,1/10/2020
30,12,1/10/2020
33,605,1/10/2020
36,16,1/10/2020
3,475,1/11/2020
1,1,1/11/2020
33,32,1/11/2020
2,958,1/11/2020
2,2382,1/13/2020
34,2,1/13/2020
11,1,1/13/2020
3,5,1/13/2020
32,233,1/13/2020
4,191,1/13/2020
36,5,1/13/2020
33,2,1/13/2020
7,3,1/14/2020
2,2235,1/14/2020
31,21,1/14/2020
3,179,1/14/2020
32,1510,1/14/2020
1,967,1/14/2020
4,168,1/14/2020
33,599,1/14/2020
36,11,1/14/2020
31,3,1/15/2020
2,254,1/15/2020
1,2916,1/15/2020
4,369,1/15/2020
7,3,1/15/2020
30,20,1/15/2020
36,4,1/15/2020
9,40,1/15/2020
41,40,1/15/2020
3,302,1/15/2020
32,56,1/15/2020
3,11,1/16/2020
11,30,1/16/2020
2,973,1/16/2020
1,1500,1/16/2020
4,8,1/16/2020
36,6,1/16/2020
